date,k18,k21,k22,traditional,Log_Returns
2012-11-16,4550.257347648404,5255.7532311070545,5503.285656617058,3621.0723367155906,0.006964243598307681
2012-11-17,4572.490665998208,5279.139951085285,5527.513971020529,3646.4296531875752,0.006978304074401049
2012-11-18,4594.955726682551,5302.789137613406,5552.006219729815,3671.9733256949594,0.006980696829588997
2012-11-19,4617.6154517496525,5326.661054510307,5576.721496280767,3697.6628148839154,0.00697173992102317
2012-11-20,4640.432763247736,5350.7159655948835,5601.6188942092485,3723.457581400622,0.006951745564189718
2012-11-21,4663.370583225023,5374.914134686019,5626.657507051111,3749.3170858912513,0.006921018996422155
2012-11-22,4686.391833729738,5399.21582560261,5651.796428342214,3775.2007890019795,0.0068798574568909865
2012-11-23,4709.4594368101025,5423.581302163544,5676.994751618414,3801.0681513789814,0.006828549275313998
2012-11-24,4732.536314514337,5447.970828187712,5702.211570415568,3826.8786336684316,0.006767373061451414
2012-11-25,4755.585388890666,5472.344667494004,5727.405978269533,3852.591696516505,0.006696596987302859
2012-11-26,4778.569581987311,5496.663083901312,5752.537068716165,3878.166800569377,0.006616478153915775
2012-11-27,4801.451815852492,5520.886341228525,5777.563935291322,3903.563406473222,0.006527262034771154
2012-11-28,4824.1950125344365,5544.974703294535,5802.445671530861,3928.7409748742157,0.0064291819878267665
2012-11-29,4846.76209408136,5568.888433918229,5827.141370970637,3953.6589664185312,0.00632245882846904
2012-11-30,4869.115982541492,5592.587796918502,5851.610127146507,3978.2768417523444,0.006207300455832115
2012-12-01,4891.21959996305,5616.033056114242,5875.811033594333,4002.554061521833,0.006083901525160505
2012-12-02,4913.035868394258,5639.184475324338,5899.703183849963,4026.450086373167,0.005952443159147267
2012-12-03,4934.527709883336,5662.002318367682,5923.245671449261,4049.9243769525247,0.005813092691432246
2012-12-04,4955.658046478509,5684.446849063164,5946.397589928081,4072.93639390608,0.005666003435666288
2012-12-05,4976.3898002279975,5706.478331229677,5969.11803282228,4095.445597880007,0.0055113144738287035
2012-12-06,4996.685893180025,5728.057028686107,5991.366093667714,4117.411449520481,0.005349150457670855
2012-12-07,5016.5092473828145,5749.143205251347,6013.100866000244,4138.793409473679,0.005179621417380575
2012-12-08,5035.822784884586,5769.697124744288,6034.281443355721,4159.550938385773,0.005002822571738941
2012-12-09,5054.589427733565,5789.679050983819,6054.866919270007,4179.643496902941,0.004818834134187853
