Date,Value,Rate_Log_Returns
2014-08-31,77.24,0.001425147614405794
2014-09-01,77.35,0.0014231194587615078
2014-09-02,77.35,0.0
2014-09-03,77.35,0.0
2014-09-04,77.35,0.0
2014-09-05,77.35,0.0
2014-09-06,77.24,-0.0014231194587614304
2014-09-07,77.13,-0.0014251476144058499
2014-09-08,77.02,-0.0014271815591449884
2014-09-09,77.02,0.0
2014-09-10,77.32,0.0038875259533672794
2014-09-11,77.33,0.00012932428081410783
2014-09-12,77.0,-0.004276556767260194
2014-09-13,77.00666666666666,8.657633874054052e-05
2014-09-14,77.01333333333334,8.656884392716315e-05
2014-09-15,77.02,8.656135041102394e-05
2014-09-16,77.02,0.0
2014-09-17,77.33,0.0040168502341813355
2014-09-18,77.32,-0.00012932428081394788
2014-09-19,77.3,-0.00025869874675377776
2014-09-20,77.28999999999999,-0.0001293744745967192
2014-09-21,77.28,-0.00012939121451695332
2014-09-22,77.27,-0.00012940795877011853
2014-09-23,77.25,-0.0002588661676375689
2014-09-24,77.23,-0.0002589331966823155
2014-09-25,77.32,0.0011646717589575163
2014-09-26,77.32,0.0
2014-09-27,77.26333333333334,-0.0007331536716539483
2014-09-28,77.20666666666666,-0.000733691580354212
2014-09-29,77.15,-0.000734230278951983
2014-09-30,77.32,0.002201075530960051
2014-10-01,77.32,0.0
2014-10-02,77.3,-0.00025869874675377776
2014-10-03,77.3,0.0
2014-10-04,77.3,0.0
2014-10-05,77.3,0.0
2014-10-06,77.3,0.0
2014-10-07,77.3,0.0
2014-10-08,77.33,0.00038802302756789673
2014-10-09,77.33,0.0
2014-10-10,77.33,0.0
2014-10-11,77.32666666666667,-4.310623532358162e-05
2014-10-12,77.32333333333332,-4.310809355142961e-05
2014-10-13,77.32,-4.3109951939049035e-05
2014-10-14,77.33,0.00012932428081410783
2014-10-15,77.25,-0.0010350628430892514
2014-10-16,77.25,0.0
2014-10-17,77.25,0.0
2014-10-18,77.26666666666667,0.00021572645968675986
2014-10-19,77.28333333333333,0.000215679931818523
2014-10-20,77.3,0.00021563342401618172
2014-10-21,77.3,0.0
2014-10-22,77.33,0.00038802302756789673
2014-10-23,77.33,0.0
2014-10-24,77.33,0.0
2014-10-25,77.32,-0.00012932428081394788
2014-10-26,77.31,-0.00012934100774660468
2014-10-27,77.3,-0.00012935773900719526
2014-10-28,77.3,0.0
2014-10-29,77.3,0.0
2014-10-30,77.3,0.0
2014-10-31,77.3,0.0
2014-11-01,77.28999999999999,-0.0001293744745967192
2014-11-02,77.28,-0.00012939121451695332
2014-11-03,77.27,-0.00012940795877011853
2014-11-04,77.2,-0.0009063249147619022
2014-11-05,77.2,0.0
