IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Bangladesh,,BDT,11/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,12/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,13/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,14/08/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,17/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,18/08/2009,69.05,Trading Economics
Official,Bangladesh,,BDT,19/08/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,20/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,21/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,24/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,25/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,26/08/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,27/08/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,28/08/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,31/08/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,01/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,02/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,03/09/2009,69.05,Trading Economics
Official,Bangladesh,,BDT,04/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,07/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,08/09/2009,68.5,Trading Economics
Official,Bangladesh,,BDT,09/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,10/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,11/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,14/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,15/09/2009,68.55,Trading Economics
Official,Bangladesh,,BDT,16/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,17/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,18/09/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,21/09/2009,68.75,Trading Economics
